timestamp,ticker,price,trend,signal,viable,win_rate,pattern
2026-08-05 15:45:37,AAPL,311.0,Sideways,HOLD,YES,41.2%,Hammer
2026-08-05 15:45:37,MSFT,487.4599914550781,Uptrend,SELL,YES,37.0%,None
2026-08-05 15:45:37,NVDA,219.22000122070312,Sideways,HOLD,YES,31.2%,None
2026-08-05 15:45:37,TSLA,321.54998779296875,Downtrend,SELL,YES,33.0%,None
2026-08-05 15:45:37,GOOGL,362.42999267578125,Sideways,HOLD,YES,40.4%,None
2026-08-05 15:47:53,AAPL,311.0,Sideways,HOLD,YES,41.2%,Hammer
2026-08-05 15:47:53,MSFT,487.4599914550781,Uptrend,SELL,YES,37.0%,None
2026-08-05 15:47:53,NVDA,219.22000122070312,Sideways,HOLD,YES,31.2%,None
2026-08-05 15:47:53,TSLA,321.54998779296875,Downtrend,SELL,YES,33.0%,None
2026-08-05 15:47:53,GOOGL,362.42999267578125,Sideways,HOLD,YES,40.4%,None
2026-08-05 15:49:31,AAPL,311.0,Sideways,HOLD,YES,41.2%,Hammer
2026-08-05 15:49:31,MSFT,487.4599914550781,Uptrend,SELL,YES,37.0%,None
2026-08-05 15:49:31,NVDA,219.22000122070312,Sideways,HOLD,YES,31.2%,None
2026-08-05 15:49:31,TSLA,321.54998779296875,Downtrend,SELL,YES,33.0%,None
2026-08-05 15:49:31,GOOGL,362.42999267578125,Sideways,HOLD,YES,40.4%,None
2026-08-05 15:51:26,AAPL,311.0,Sideways,HOLD,YES,41.2%,Hammer
2026-08-05 15:51:26,MSFT,487.4599914550781,Uptrend,SELL,YES,37.0%,None
2026-08-05 15:51:26,NVDA,219.22000122070312,Sideways,HOLD,YES,31.2%,None
2026-08-05 15:51:26,TSLA,321.54998779296875,Downtrend,SELL,YES,33.0%,None
2026-08-05 15:51:26,GOOGL,362.42999267578125,Sideways,HOLD,YES,40.4%,None
2026-08-05 16:00:08,AAPL,311.0,Sideways,HOLD,YES,40.0%,Hammer
2026-08-05 16:00:08,MSFT,487.4599914550781,Uptrend,HOLD,YES,0.0%,None
2026-08-05 16:00:08,GOOGL,362.42999267578125,Sideways,HOLD,YES,0.0%,None
2026-08-05 16:00:08,NVDA,219.22000122070312,Sideways,HOLD,YES,25.0%,None
2026-08-05 16:00:08,TSLA,321.54998779296875,Downtrend,HOLD,YES,50.0%,None
2026-08-05 16:02:31,AAPL,311.0,Sideways,HOLD,YES,40.0%,Hammer
2026-08-05 16:02:31,MSFT,487.4599914550781,Uptrend,HOLD,YES,50.0%,None
2026-08-05 16:02:31,GOOGL,362.42999267578125,Sideways,HOLD,YES,50.0%,None
2026-08-05 16:02:31,NVDA,219.22000122070312,Sideways,HOLD,YES,25.0%,None
2026-08-05 16:02:31,TSLA,321.54998779296875,Downtrend,HOLD,YES,50.0%,None
2026-08-05 16:04:46,AAPL,311.0,Sideways,HOLD,YES,40.0%,Hammer
2026-08-05 16:04:46,MSFT,487.4599914550781,Uptrend,HOLD,YES,50.0%,None
2026-08-05 16:04:46,GOOGL,362.42999267578125,Sideways,HOLD,YES,50.0%,None
2026-08-05 16:04:46,NVDA,219.22000122070312,Sideways,HOLD,YES,25.0%,None
2026-08-05 16:04:46,TSLA,321.54998779296875,Downtrend,HOLD,YES,50.0%,None
2026-08-05 16:25:40,AAPL,311.0,Sideways,HOLD,YES,40.0%,Hammer
2026-08-05 16:25:40,MSFT,487.4599914550781,Uptrend,HOLD,YES,50.0%,None
2026-08-05 16:25:40,GOOGL,362.42999267578125,Sideways,HOLD,YES,50.0%,None
2026-08-05 16:25:40,NVDA,219.22000122070312,Sideways,HOLD,YES,25.0%,None
2026-08-05 16:25:40,TSLA,321.54998779296875,Downtrend,HOLD,YES,50.0%,None
